nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
27,113,23.8938053097345,55.0,4.8,11,40.7407407407407,0,973
28,30,93.3333333333333,93.0,12.3,13,46.4285714285714,0,88
28,30,93.3333333333333,100.0,11.0,13,46.4285714285714,1,56
28,30,93.3333333333333,100.0,13.2,10,35.7142857142857,1,12
28,32,87.5,97.0,11.7,7,25,1,62
28,32,87.5,97.0,12.2,6,21.4285714285714,1,17
28,32,87.5,100.0,11.2,14,50,1,35
28,32,87.5,100.0,11.9,11,39.2857142857143,0,56
28,33,84.8484848484848,100.0,11.0,7,25,1,56
28,33,84.8484848484848,100.0,12.0,9,32.1428571428571,0,3
28,34,82.3529411764706,97.0,11.2,9,32.1428571428571,0,18
28,35,80,91.0,13.0,8,28.5714285714286,0,16
28,35,80,97.0,10.3,12,42.8571428571429,1,90
28,36,77.7777777777778,94.0,11.3,13,46.4285714285714,0,52
28,36,77.7777777777778,97.0,10.8,12,42.8571428571429,0,44
28,36,77.7777777777778,100.0,10.8,5,17.8571428571429,0,6
28,36,77.7777777777778,100.0,11.4,4,14.2857142857143,0,16
28,37,75.6756756756757,95.0,9.6,10,35.7142857142857,1,36
28,38,73.6842105263158,82.0,8.9,9,32.1428571428571,0,52
28,38,73.6842105263158,82.0,10.4,8,28.5714285714286,0,35
28,38,73.6842105263158,84.0,12.1,13,46.4285714285714,1,42
28,38,73.6842105263158,95.0,10.2,4,14.2857142857143,0,6
28,38,73.6842105263158,95.0,10.7,11,39.2857142857143,1,36
28,38,73.6842105263158,95.0,11.2,8,28.5714285714286,0,42
28,41,68.2926829268293,88.0,10.8,12,42.8571428571429,0,56
28,41,68.2926829268293,95.0,10.3,9,32.1428571428571,0,3
28,41,68.2926829268293,95.0,11.4,6,21.4285714285714,0,50
28,41,68.2926829268293,100.0,12.4,9,32.1428571428571,1,11
28,42,66.6666666666667,86.0,9.1,11,39.2857142857143,0,49
28,42,66.6666666666667,93.0,8.1,7,25,0,59
28,42,66.6666666666667,93.0,11.1,8,28.5714285714286,1,39
28,42,66.6666666666667,100.0,10.8,9,32.1428571428571,0,88
28,43,65.1162790697674,81.0,9.7,10,35.7142857142857,0,57
28,43,65.1162790697674,84.0,11.1,8,28.5714285714286,0,10
28,43,65.1162790697674,86.0,8.5,12,42.8571428571429,1,92
28,43,65.1162790697674,86.0,10.7,11,39.2857142857143,1,72
28,43,65.1162790697674,91.0,10.0,10,35.7142857142857,1,90
28,43,65.1162790697674,95.0,8.3,6,21.4285714285714,1,95
28,43,65.1162790697674,95.0,10.9,14,50,0,10
28,44,63.6363636363636,82.0,10.2,12,42.8571428571429,1,47
28,44,63.6363636363636,89.0,11.4,14,50,1,16
28,44,63.6363636363636,98.0,11.7,9,32.1428571428571,0,53
28,45,62.2222222222222,78.0,10.7,8,28.5714285714286,0,8
28,45,62.2222222222222,87.0,10.6,8,28.5714285714286,0,49
28,45,62.2222222222222,87.0,11.1,12,42.8571428571429,1,11
28,46,60.8695652173913,93.0,11.0,9,32.1428571428571,0,84
28,47,59.5744680851064,79.0,9.2,10,35.7142857142857,0,49
28,47,59.5744680851064,94.0,12.7,7,25,1,77
28,49,57.1428571428571,94.0,9.3,6,21.4285714285714,0,3
28,49,57.1428571428571,96.0,10.5,7,25,0,36
28,50,56,70.0,10.8,10,35.7142857142857,0,8
28,50,56,92.0,10.5,14,50,0,73
28,51,54.9019607843137,75.0,9.0,7,25,0,55
28,51,54.9019607843137,88.0,8.8,7,25,0,2
28,53,52.8301886792453,75.0,9.0,11,39.2857142857143,0,14
28,53,52.8301886792453,75.0,9.9,14,50,0,88
28,54,51.8518518518519,80.0,8.6,7,25,0,56
28,56,50,96.0,7.8,11,39.2857142857143,0,972
28,58,48.2758620689655,69.0,8.8,14,50,0,49
28,59,47.4576271186441,86.0,7.5,11,39.2857142857143,0,972
